Episode,Reward,Epsilon,Loss
0,631,0.943623,0.003332
1,498,0.871910,0.001115
2,1584,0.748904,0.002444
3,592,0.687848,0.001685
4,637,0.629877,0.003331
5,597,0.578525,0.003776
6,834,0.522398,0.002213
7,533,0.481733,0.001335
8,265,0.451854,0.002329
9,293,0.423403,0.002666
10,477,0.391618,0.001335
11,716,0.356823,0.002445
12,279,0.334691,0.002001
13,425,0.310807,0.001441
14,429,0.288627,0.002000
15,342,0.269374,0.001778
16,177,0.254187,0.001978
17,252,0.238660,0.002667
18,260,0.223857,0.002001
19,278,0.209762,0.001556
20,236,0.197343,0.001556
21,392,0.183811,0.002106
22,503,0.169842,0.001546
23,274,0.159308,0.001885
24,490,0.147348,0.003554
25,209,0.138763,0.002444
26,234,0.130417,0.002328
27,405,0.121231,0.000984
28,371,0.113031,0.002444
29,262,0.106021,0.001885
30,315,0.099147,0.003997
31,269,0.092997,0.002443
32,253,0.087316,0.001778
33,264,0.081900,0.001440
34,255,0.076897,0.001999
35,262,0.072200,0.003332
36,250,0.067790,0.001556
37,261,0.063585,0.001649
38,193,0.059940,0.002771
39,227,0.056391,0.001778
40,268,0.052894,0.001990
41,425,0.049119,0.002887
42,255,0.046119,0.001334
43,265,0.043258,0.001335
44,449,0.040131,0.001556
45,282,0.037604,0.001556
46,261,0.035307,0.001334
47,355,0.032952,0.002550
48,262,0.030939,0.000317
49,264,0.029020,0.001534
50,428,0.026922,0.001440
51,203,0.025354,0.002222
52,255,0.023805,0.001778
53,266,0.022328,0.001778
54,255,0.020964,0.001999
55,426,0.019468,0.002655
56,267,0.018261,0.001778
57,265,0.017128,0.001777
58,261,0.016082,0.002221
59,265,0.015084,0.002222
60,261,0.014163,0.001777
61,263,0.013284,0.001440
62,261,0.012473,0.001556
63,250,0.011711,0.000775
64,254,0.010996,0.001999
65,206,0.010355,0.002222
66,261,0.009722,0.002222
67,263,0.009119,0.000997
68,258,0.008562,0.002221
69,263,0.008031,0.002327
70,252,0.007541,0.002443
71,263,0.007073,0.001334
72,263,0.006641,0.002665
73,263,0.006229,0.001871
74,264,0.005848,0.002887
75,264,0.005486,0.002000
76,261,0.005151,0.001999
77,264,0.004831,0.001334
78,266,0.004536,0.002106
79,263,0.004255,0.000889
80,260,0.003995,0.001555
81,265,0.003747,0.002072
82,262,0.003518,0.000890
83,263,0.003300,0.001111
84,266,0.003098,0.001111
85,263,0.002906,0.001649
86,261,0.002729,0.002315
87,264,0.002559,0.002106
88,261,0.002403,0.002665
89,263,0.002254,0.001662
90,268,0.002114,0.001663
91,266,0.001983,0.001777
92,261,0.001862,0.002443
93,264,0.001746,0.002105
94,262,0.001640,0.000667
95,263,0.001538,0.001999
96,268,0.001443,0.002199
97,264,0.001353,0.001777
98,261,0.001271,0.002666
99,483,0.001175,0.002000
100,268,0.001102,0.001334
101,263,0.001034,0.001333
102,262,0.000971,0.001556
103,264,0.000911,0.001777
104,264,0.000855,0.001779
105,266,0.000802,0.000890
106,261,0.000753,0.001217
107,263,0.000706,0.001556
108,268,0.000662,0.001112
109,264,0.000621,0.001777
110,267,0.000583,0.002887
111,265,0.000547,0.002328
112,262,0.000513,0.001883
113,265,0.000481,0.000668
114,254,0.000452,0.001999
115,264,0.000424,0.001218
116,261,0.000398,0.001134
117,263,0.000373,0.001556
118,266,0.000351,0.001777
119,265,0.000329,0.002549
120,266,0.000309,0.000668
121,264,0.000290,0.001661
122,261,0.000272,0.001777
123,263,0.000255,0.002221
124,261,0.000239,0.001999
125,264,0.000225,0.002199
126,261,0.000211,0.002106
127,264,0.000198,0.002221
128,261,0.000186,0.001521
129,263,0.000174,0.002443
130,261,0.000164,0.002221
131,263,0.000153,0.001555
132,254,0.000144,0.002000
133,264,0.000135,0.001427
134,268,0.000127,0.002443
135,263,0.000119,0.001101
136,266,0.000112,0.000889
137,262,0.000105,0.002222
138,261,0.000098,0.001111
139,263,0.000092,0.001999
140,252,0.000087,0.001111
141,263,0.000081,0.001999
142,480,0.000075,0.000668
143,263,0.000071,0.001333
144,266,0.000066,0.002759
145,265,0.000062,0.001112
146,261,0.000058,0.001777
147,264,0.000055,0.001999
148,261,0.000051,0.001439
149,264,0.000048,0.000667
150,266,0.000045,0.001555
151,263,0.000042,0.001999
152,261,0.000040,0.001999
153,264,0.000037,0.002106
154,261,0.000035,0.001334
155,263,0.000033,0.001555
156,266,0.000031,0.000889
157,264,0.000029,0.000995
158,263,0.000027,0.002981
159,264,0.000026,0.001218
160,266,0.000024,0.001111
161,263,0.000022,0.001112
162,261,0.000021,0.002221
163,264,0.000020,0.002106
164,260,0.000019,0.001648
165,264,0.000017,0.001555
166,261,0.000016,0.001439
167,264,0.000015,0.001999
168,258,0.000014,0.001218
169,263,0.000014,0.002221
170,258,0.000013,0.001217
171,263,0.000012,0.001440
172,266,0.000011,0.001332
173,264,0.000010,0.001334
174,261,0.000010,0.000995
175,264,0.000009,0.001871
176,261,0.000009,0.000867
177,266,0.000008,0.001334
178,268,0.000008,0.001555
179,264,0.000007,0.001778
180,261,0.000007,0.000889
181,263,0.000006,0.001111
182,266,0.000006,0.002327
183,264,0.000006,0.000445
184,261,0.000005,0.001217
185,252,0.000005,0.001533
186,262,0.000005,0.001111
187,265,0.000004,0.000996
188,262,0.000004,0.002853
189,264,0.000004,0.002222
190,265,0.000004,0.001999
191,263,0.000003,0.000667
192,266,0.000003,0.002105
193,263,0.000003,0.001999
194,261,0.000003,0.001777
195,252,0.000003,0.001217
196,261,0.000002,0.000889
197,264,0.000002,0.002221
198,266,0.000002,0.001777
199,446,0.000002,0.001205
200,261,0.000002,0.000890